职位,经验,学历,公司,规模,月薪,地点
（九龙医院）php程序员,不限,大专,深圳市大海水信息咨询有限公司,20-99人,9000,珠海-香洲区
php程序员,1-3年,大专,才院发展股份有限公司,100-499人,9000,珠海-香洲区
PHP资深程序员,1-3年,大专,才院发展股份有限公司,100-499人,12500,珠海-香洲区
PHP高级开发工程师,1-3年,本科,珠海市星域网络科技有限公司,20人以下,7000,珠海-香洲区
软件开发工程师,3-5年,大专,珠海横琴汇川科技有限公司,20-99人,7500,珠海-香洲区
网站维护优化工程师,不限,不限,珠海市解忧教育咨询有限公司,100-499人,9000,珠海-香洲区
软件测试工程师,1-3年,不限,珠海轼域网络科技有限公司,20-99人,8000,珠海-香洲区
系统分析师,5-10年,本科,[澳集团有限公司,100-499人,12500,珠海-香洲区
系统架构师,5-10年,本科,[澳集团有限公司,100-499人,12500,珠海-香洲区
服务端开发工程师,3-5年,不限,北京猎豹移动科技有限公司,1000-9999人,20000,珠海-香洲区
web前端开发/网页前端设计(可招应届毕业生),不限,不限,珠海市皇潮装饰设计工程有限公司,20-99人,5500,珠海-香洲区
软件工程师,1-3年,本科,珠海市星域网络科技有限公司,20人以下,7000,珠海-香洲区
网站管理员,不限,大专,珠海嘉嘉科技有限公司,20人以下,1500,珠海-香洲区
web开发程序员,1-3年,本科,珠海市星域网络科技有限公司,20人以下,7000,珠海-香洲区
